transaction_amount,merchant_category,customer_region,transaction_type,card_present,hour_of_day,device_type,previous_fraud_flag,transaction_datetime,day_of_week,is_weekend,device_id,is_fraud
2634.29,Online Store,Eastern Cape,EFT,1,19,Unknown,0,2023-01-01 00:00:00,Sunday,1,UNK_59895,0
6655.99,Clothing,Mpumalanga,EFT,1,4,iPhone,0,2023-01-01 00:12:00,Sunday,1,IPH_86639,0
5129.32,Fuel,Gauteng,Online,1,20,Windows,0,2023-01-01 00:52:00,Sunday,1,WIN_25174,0
4198.64,Restaurants,KwaZulu-Natal,ATM Withdrawal,0,3,Windows,0,2023-01-01 01:40:00,Sunday,1,WIN_97329,0
1109.01,Restaurants,KwaZulu-Natal,ATM Withdrawal,1,3,Unknown,0,2023-01-01 02:44:00,Sunday,1,UNK_37597,0
1108.84,Online Store,Western Cape,EFT,1,3,Android,0,2023-01-01 03:04:00,Sunday,1,AND_84289,0
425.42,Groceries,Eastern Cape,EFT,1,3,Unknown,0,2023-01-01 02:25:00,Sunday,1,UNK_48397,0
6065.91,Fuel,Eastern Cape,POS,1,19,Android,0,2023-01-01 01:56:00,Sunday,1,AND_81854,0
4215.78,Restaurants,Eastern Cape,POS,0,20,Windows,0,2023-01-01 01:27:00,Sunday,1,WIN_43069,0
4962.35,Online Store,Mpumalanga,EFT,0,17,Android,0,2023-01-01 06:17:00,Sunday,1,AND_95687,0
163.68,Restaurants,Western Cape,POS,0,17,Windows,0,2023-01-01 06:30:00,Sunday,1,WIN_50274,0
6789.97,Fuel,Eastern Cape,POS,1,15,Windows,0,2023-01-01 07:37:00,Sunday,1,WIN_84237,0
5830.45,Fuel,Mpumalanga,EFT,1,8,iPhone,0,2023-01-01 04:35:00,Sunday,1,IPH_82498,0
1502.13,Electronics,KwaZulu-Natal,EFT,0,17,Android,0,2023-01-01 03:34:00,Sunday,1,AND_48197,0
1289.14,Clothing,Gauteng,ATM Withdrawal,1,21,Android,0,2023-01-01 10:41:00,Sunday,1,AND_58634,0
1300.16,Clothing,Mpumalanga,EFT,1,1,Android,0,2023-01-01 11:39:00,Sunday,1,AND_40041,0
2143.61,Online Store,KwaZulu-Natal,EFT,1,20,Unknown,0,2023-01-01 07:26:00,Sunday,1,UNK_17248,0
3682.8,Fuel,KwaZulu-Natal,Online,1,3,iPhone,0,2023-01-01 10:30:00,Sunday,1,IPH_95365,1
3034.98,Electronics,Gauteng,ATM Withdrawal,1,11,iPhone,0,2023-01-01 06:54:00,Sunday,1,IPH_12203,0
2052.78,Electronics,KwaZulu-Natal,ATM Withdrawal,1,6,iPhone,0,2023-01-01 13:25:00,Sunday,1,IPH_61986,0
4290.73,Restaurants,Western Cape,ATM Withdrawal,0,14,Unknown,0,2023-01-01 16:46:00,Sunday,1,UNK_35370,0
993.67,Restaurants,Gauteng,Online,0,6,Android,1,2023-01-01 14:33:00,Sunday,1,AND_45247,0
2059.17,Electronics,KwaZulu-Natal,EFT,1,21,Android,0,2023-01-01 11:27:00,Sunday,1,AND_85922,0
2577.21,Restaurants,Limpopo,ATM Withdrawal,1,20,Android,1,2023-01-01 10:45:00,Sunday,1,AND_10434,0
3203.37,Fuel,Mpumalanga,ATM Withdrawal,1,16,iPhone,0,2023-01-01 15:33:00,Sunday,1,IPH_72982,0
5500.53,Groceries,KwaZulu-Natal,POS,0,15,iPhone,0,2023-01-01 17:07:00,Sunday,1,IPH_75180,0
1413.72,Fuel,Western Cape,ATM Withdrawal,0,18,Windows,0,2023-01-01 14:43:00,Sunday,1,WIN_44474,0
3609.36,Electronics,Eastern Cape,EFT,1,8,Unknown,0,2023-01-01 17:02:00,Sunday,1,UNK_34644,0
4155.05,Electronics,KwaZulu-Natal,EFT,0,13,Unknown,0,2023-01-01 03:07:00,Sunday,1,UNK_48493,0
344.22,Fuel,Eastern Cape,POS,1,16,iPhone,0,2023-01-02 03:37:00,Monday,0,IPH_93824,0
4260.66,Restaurants,Limpopo,ATM Withdrawal,1,4,Windows,0,2023-01-01 23:49:00,Sunday,1,WIN_13959,0
1210.26,Restaurants,KwaZulu-Natal,ATM Withdrawal,1,1,Android,0,2023-01-01 11:54:00,Sunday,1,AND_57289,0
474.06,Clothing,Gauteng,ATM Withdrawal,1,19,iPhone,1,2023-01-01 18:14:00,Sunday,1,IPH_21143,0
6643.22,Electronics,Eastern Cape,Online,1,15,Unknown,0,2023-01-01 02:05:00,Sunday,1,UNK_49593,0
6760.11,Online Store,Limpopo,ATM Withdrawal,0,13,Unknown,0,2023-01-01 01:56:00,Sunday,1,UNK_49115,0
5662.61,Clothing,Gauteng,EFT,1,13,Unknown,1,2023-01-01 09:12:00,Sunday,1,UNK_32540,0
2146.2,Restaurants,Gauteng,EFT,1,0,Android,0,2023-01-02 01:00:00,Monday,0,AND_45481,0
701.75,Fuel,Gauteng,Online,1,2,Unknown,0,2023-01-02 07:37:00,Monday,0,UNK_87097,0
4795.95,Restaurants,Gauteng,Online,1,6,Android,0,2023-01-01 21:31:00,Sunday,1,AND_32578,0
3092.26,Fuel,KwaZulu-Natal,ATM Withdrawal,1,14,Android,0,2023-01-01 21:03:00,Sunday,1,AND_22787,0
871.83,Clothing,Mpumalanga,POS,1,18,Android,0,2023-01-01 16:29:00,Sunday,1,AND_82048,0
3476.33,Electronics,KwaZulu-Natal,Online,0,19,iPhone,0,2023-01-01 07:11:00,Sunday,1,IPH_62879,0
260.03,Restaurants,KwaZulu-Natal,Online,1,1,Android,0,2023-01-01 05:35:00,Sunday,1,AND_20596,0
6367.06,Fuel,Limpopo,ATM Withdrawal,1,18,Windows,0,2023-01-02 08:52:00,Monday,0,WIN_70669,0
1826.28,Electronics,Limpopo,ATM Withdrawal,1,8,Unknown,0,2023-01-02 16:51:00,Monday,0,UNK_29930,0
4644.41,Online Store,Mpumalanga,Online,1,18,iPhone,0,2023-01-01 21:01:00,Sunday,1,IPH_57950,0
2195.74,Fuel,Limpopo,POS,0,4,Unknown,1,2023-01-02 06:35:00,Monday,0,UNK_28687,0
3650.07,Clothing,Western Cape,Online,1,17,Android,0,2023-01-02 19:02:00,Monday,0,AND_62833,0
3836.04,Online Store,Mpumalanga,ATM Withdrawal,1,15,iPhone,0,2023-01-01 05:03:00,Sunday,1,IPH_45989,0
1310.28,Online Store,Limpopo,ATM Withdrawal,1,3,Windows,0,2023-01-02 13:56:00,Monday,0,WIN_40183,0
6787.7,Groceries,Mpumalanga,Online,1,11,Android,0,2023-01-02 07:09:00,Monday,0,AND_30758,0
5430.43,Restaurants,KwaZulu-Natal,POS,0,6,Unknown,0,2023-01-02 06:52:00,Monday,0,UNK_11082,0
6577.7,Fuel,KwaZulu-Natal,Online,0,13,Windows,0,2023-01-01 15:49:00,Sunday,1,WIN_55891,0
6265.89,Online Store,Mpumalanga,Online,1,22,Android,0,2023-01-02 12:31:00,Monday,0,AND_55810,0
4193.34,Groceries,Western Cape,ATM Withdrawal,0,11,Windows,0,2023-01-02 19:06:00,Monday,0,WIN_56901,0
6454.68,Clothing,Western Cape,POS,1,2,Android,0,2023-01-01 07:01:00,Sunday,1,AND_93512,0
637.68,Electronics,Mpumalanga,EFT,0,4,iPhone,1,2023-01-02 06:18:00,Monday,0,IPH_81062,0
1387.96,Fuel,Limpopo,POS,0,16,Android,1,2023-01-01 06:37:00,Sunday,1,AND_31563,0
335.69,Online Store,Eastern Cape,Online,1,9,iPhone,0,2023-01-03 02:43:00,Tuesday,0,IPH_82008,0
2290.81,Restaurants,Western Cape,Online,1,9,Android,0,2023-01-02 06:26:00,Monday,0,AND_12775,0
2732.97,Groceries,Gauteng,Online,1,10,Android,0,2023-01-03 00:40:00,Tuesday,0,AND_25828,0
1914.02,Online Store,KwaZulu-Natal,POS,1,16,Unknown,0,2023-01-01 23:05:00,Sunday,1,UNK_27974,0
5804.59,Restaurants,Mpumalanga,ATM Withdrawal,0,4,Windows,0,2023-01-01 08:39:00,Sunday,1,WIN_32388,0
